"BaseThick","FinThick","FinHeight","BaseMaterial","FinMaterial","FanType","MeanTemp"
2.2,4.2,30,"Silver","Silver","Exhaust",79.4632
2.4,4.4,22,"Silver","Silver","Exhaust",99.357
2.6,3.6,22,"Silver","Silver","Exhaust",90.5533
2.8,4.2,24,"Silver","Silver","Exhaust",98.8582
2.6,3.8,26,"Silver","Silver","Exhaust",80.7264
3,3.4,20,"Silver","Silver","Exhaust",97.6846
2.2,4.6,30,"Silver","Silver","Exhaust",79.1611
2.8,4.8,26,"Silver","Silver","Exhaust",92.2878
3,4,32,"Silver","Silver","Exhaust",81.3334
2.6,3.4,18,"Silver","Silver","Exhaust",105.356
3,4.8,16,"Silver","Silver","Exhaust",129.816
2.4,5,20,"Silver","Silver","Exhaust",111.101
2.4,3.8,32,"Silver","Silver","Exhaust",70.1952
2.8,3.2,28,"Silver","Silver","Exhaust",80.0206
2.8,5,34,"Silver","Silver","Exhaust",75.5893
2.2,3.6,16,"Silver","Silver","Exhaust",110.834
2.2,4.2,30,"Silver","Silver","Intake",78.1632
2.4,4.4,22,"Silver","Silver","Intake",97.2701
2.6,3.6,22,"Silver","Silver","Intake",89.2533
2.8,4.2,24,"Silver","Silver","Intake",98.2837
2.6,3.8,26,"Silver","Silver","Intake",79.1648
3,3.4,20,"Silver","Silver","Intake",95.716
2.2,4.6,30,"Silver","Silver","Intake",77.6234
2.8,4.8,26,"Silver","Silver","Intake",90.526
3,4,32,"Silver","Silver","Intake",81.1284
2.6,3.4,18,"Silver","Silver","Intake",103.172
3,4.8,16,"Silver","Silver","Intake",127.258
2.4,5,20,"Silver","Silver","Intake",109.853
2.4,3.8,32,"Silver","Silver","Intake",68.8737
2.8,3.2,28,"Silver","Silver","Intake",78.0684
2.8,5,34,"Silver","Silver","Intake",74.5711
2.2,3.6,16,"Silver","Silver","Intake",108.856
2.2,4.2,30,"Silver","Brass","Exhaust",79.5263
2.4,4.4,22,"Silver","Brass","Exhaust",99.4011
2.6,3.6,22,"Silver","Brass","Exhaust",90.6076
2.8,4.2,24,"Silver","Brass","Exhaust",98.9073
2.6,3.8,26,"Silver","Brass","Exhaust",80.7867
3,3.4,20,"Silver","Brass","Exhaust",97.7349
2.2,4.6,30,"Silver","Brass","Exhaust",79.2207
2.8,4.8,26,"Silver","Brass","Exhaust",92.3365
3,4,32,"Silver","Brass","Exhaust",81.4018
2.6,3.4,18,"Silver","Brass","Exhaust",105.402
3,4.8,16,"Silver","Brass","Exhaust",129.845
2.4,5,20,"Silver","Brass","Exhaust",111.137
2.4,3.8,32,"Silver","Brass","Exhaust",70.2698
2.8,3.2,28,"Silver","Brass","Exhaust",80.0944
2.8,5,34,"Silver","Brass","Exhaust",75.6512
2.2,3.6,16,"Silver","Brass","Exhaust",110.876
2.2,4.2,30,"Silver","Brass","Intake",78.2293
2.4,4.4,22,"Silver","Brass","Intake",97.3169
2.6,3.6,22,"Silver","Brass","Intake",89.3075
2.8,4.2,24,"Silver","Brass","Intake",98.3365
2.6,3.8,26,"Silver","Brass","Intake",79.2261
3,3.4,20,"Silver","Brass","Intake",95.7662
2.2,4.6,30,"Silver","Brass","Intake",77.6843
2.8,4.8,26,"Silver","Brass","Intake",90.5774
3,4,32,"Silver","Brass","Intake",81.2003
2.6,3.4,18,"Silver","Brass","Intake",103.218
3,4.8,16,"Silver","Brass","Intake",127.29
2.4,5,20,"Silver","Brass","Intake",109.893
2.4,3.8,32,"Silver","Brass","Intake",68.9493
2.8,3.2,28,"Silver","Brass","Intake",78.1425
2.8,5,34,"Silver","Brass","Intake",74.6352
2.2,3.6,16,"Silver","Brass","Intake",108.894
2.2,4.2,30,"Silver","Aluminum","Exhaust",80.8415
2.4,4.4,22,"Silver","Aluminum","Exhaust",100.329
2.6,3.6,22,"Silver","Aluminum","Exhaust",91.7459
2.8,4.2,24,"Silver","Aluminum","Exhaust",99.9419
2.6,3.8,26,"Silver","Aluminum","Exhaust",82.0527
3,3.4,20,"Silver","Aluminum","Exhaust",98.7919
2.2,4.6,30,"Silver","Aluminum","Exhaust",80.4475
2.8,4.8,26,"Silver","Aluminum","Exhaust",93.3606
3,4,32,"Silver","Aluminum","Exhaust",82.8397
2.6,3.4,18,"Silver","Aluminum","Exhaust",106.352
3,4.8,16,"Silver","Aluminum","Exhaust",130.468
2.4,5,20,"Silver","Aluminum","Exhaust",111.909
2.4,3.8,32,"Silver","Aluminum","Exhaust",71.8274
2.8,3.2,28,"Silver","Aluminum","Exhaust",81.6388
2.8,5,34,"Silver","Aluminum","Exhaust",76.9506
2.2,3.6,16,"Silver","Aluminum","Exhaust",111.698
2.2,4.2,30,"Silver","Aluminum","Intake",79.6134
2.4,4.4,22,"Silver","Aluminum","Intake",98.3075
2.6,3.6,22,"Silver","Aluminum","Intake",90.4471
2.8,4.2,24,"Silver","Aluminum","Intake",99.4486
2.6,3.8,26,"Silver","Aluminum","Intake",80.5114
3,3.4,20,"Silver","Aluminum","Intake",96.8235
2.2,4.6,30,"Silver","Aluminum","Intake",78.9742
2.8,4.8,26,"Silver","Aluminum","Intake",91.6576
3,4,32,"Silver","Aluminum","Intake",82.7099
2.6,3.4,18,"Silver","Aluminum","Intake",104.178
3,4.8,16,"Silver","Aluminum","Intake",127.962
2.4,5,20,"Silver","Aluminum","Intake",110.73
2.4,3.8,32,"Silver","Aluminum","Intake",70.5291
2.8,3.2,28,"Silver","Aluminum","Intake",79.6956
2.8,5,34,"Silver","Aluminum","Intake",75.9824
2.2,3.6,16,"Silver","Aluminum","Intake",109.738
2.2,4.2,30,"Silver","Steel","Exhaust",87.0826
2.4,4.4,22,"Silver","Steel","Exhaust",104.807
2.6,3.6,22,"Silver","Steel","Exhaust",97.1764
2.8,4.2,24,"Silver","Steel","Exhaust",104.935
2.6,3.8,26,"Silver","Steel","Exhaust",88.0562
3,3.4,20,"Silver","Steel","Exhaust",103.859
2.2,4.6,30,"Silver","Steel","Exhaust",86.2949
2.8,4.8,26,"Silver","Steel","Exhaust",98.3062
3,4,32,"Silver","Steel","Exhaust",89.6614
2.6,3.4,18,"Silver","Steel","Exhaust",110.923
3,4.8,16,"Silver","Steel","Exhaust",133.514
2.4,5,20,"Silver","Steel","Exhaust",115.673
2.4,3.8,32,"Silver","Steel","Exhaust",79.1026
2.8,3.2,28,"Silver","Steel","Exhaust",88.908
2.8,5,34,"Silver","Steel","Exhaust",83.1456
2.2,3.6,16,"Silver","Steel","Exhaust",115.676
2.2,4.2,30,"Silver","Steel","Intake",86.1839
2.4,4.4,22,"Silver","Steel","Intake",103.092
2.6,3.6,22,"Silver","Steel","Intake",95.9065
2.8,4.2,24,"Silver","Steel","Intake",104.812
2.6,3.8,26,"Silver","Steel","Intake",86.6294
3,3.4,20,"Silver","Steel","Intake",101.907
2.2,4.6,30,"Silver","Steel","Intake",85.1191
2.8,4.8,26,"Silver","Steel","Intake",96.8719
3,4,32,"Silver","Steel","Intake",89.8612
2.6,3.4,18,"Silver","Steel","Intake",108.816
3,4.8,16,"Silver","Steel","Intake",131.253
2.4,5,20,"Silver","Steel","Intake",114.811
2.4,3.8,32,"Silver","Steel","Intake",77.9329
2.8,3.2,28,"Silver","Steel","Intake",87.0077
2.8,5,34,"Silver","Steel","Intake",82.4031
2.2,3.6,16,"Silver","Steel","Intake",113.816
2.2,4.2,30,"Brass","Silver","Exhaust",79.4809
2.4,4.4,22,"Brass","Silver","Exhaust",99.3735
2.6,3.6,22,"Brass","Silver","Exhaust",90.5916
2.8,4.2,24,"Brass","Silver","Exhaust",98.8677
2.6,3.8,26,"Brass","Silver","Exhaust",80.7511
3,3.4,20,"Brass","Silver","Exhaust",97.7198
2.2,4.6,30,"Brass","Silver","Exhaust",79.1775
2.8,4.8,26,"Brass","Silver","Exhaust",92.2949
3,4,32,"Brass","Silver","Exhaust",81.3443
2.6,3.4,18,"Brass","Silver","Exhaust",105.393
3,4.8,16,"Brass","Silver","Exhaust",129.823
2.4,5,20,"Brass","Silver","Exhaust",111.106
2.4,3.8,32,"Brass","Silver","Exhaust",70.2206
2.8,3.2,28,"Brass","Silver","Exhaust",80.0549
2.8,5,34,"Brass","Silver","Exhaust",75.5964
2.2,3.6,16,"Brass","Silver","Exhaust",110.873
2.2,4.2,30,"Brass","Silver","Intake",78.1778
2.4,4.4,22,"Brass","Silver","Intake",97.2835
2.6,3.6,22,"Brass","Silver","Intake",89.2846
2.8,4.2,24,"Brass","Silver","Intake",98.2923
2.6,3.8,26,"Brass","Silver","Intake",79.1854
3,3.4,20,"Brass","Silver","Intake",95.7446
2.2,4.6,30,"Brass","Silver","Intake",77.6374
2.8,4.8,26,"Brass","Silver","Intake",90.5327
3,4,32,"Brass","Silver","Intake",81.1384
2.6,3.4,18,"Brass","Silver","Intake",103.202
3,4.8,16,"Brass","Silver","Intake",127.265
2.4,5,20,"Brass","Silver","Intake",109.858
2.4,3.8,32,"Brass","Silver","Intake",68.895
2.8,3.2,28,"Brass","Silver","Intake",78.0969
2.8,5,34,"Brass","Silver","Intake",74.5779
2.2,3.6,16,"Brass","Silver","Intake",108.887
2.2,4.2,30,"Brass","Brass","Exhaust",79.5436
2.4,4.4,22,"Brass","Brass","Exhaust",99.4177
2.6,3.6,22,"Brass","Brass","Exhaust",90.6459
2.8,4.2,24,"Brass","Brass","Exhaust",98.9168
2.6,3.8,26,"Brass","Brass","Exhaust",80.8118
3,3.4,20,"Brass","Brass","Exhaust",97.7701
2.2,4.6,30,"Brass","Brass","Exhaust",79.236
2.8,4.8,26,"Brass","Brass","Exhaust",92.3434
3,4,32,"Brass","Brass","Exhaust",81.4129
2.6,3.4,18,"Brass","Brass","Exhaust",105.439
3,4.8,16,"Brass","Brass","Exhaust",129.853
2.4,5,20,"Brass","Brass","Exhaust",111.142
2.4,3.8,32,"Brass","Brass","Exhaust",70.2952
2.8,3.2,28,"Brass","Brass","Exhaust",80.1287
2.8,5,34,"Brass","Brass","Exhaust",75.6582
2.2,3.6,16,"Brass","Brass","Exhaust",110.912
2.2,4.2,30,"Brass","Brass","Intake",78.2438
2.4,4.4,22,"Brass","Brass","Intake",97.3305
2.6,3.6,22,"Brass","Brass","Intake",89.3389
2.8,4.2,24,"Brass","Brass","Intake",98.3451
2.6,3.8,26,"Brass","Brass","Intake",79.2466
3,3.4,20,"Brass","Brass","Intake",95.7948
2.2,4.6,30,"Brass","Brass","Intake",77.6988
2.8,4.8,26,"Brass","Brass","Intake",90.5839
3,4,32,"Brass","Brass","Intake",81.2104
2.6,3.4,18,"Brass","Brass","Intake",103.247
3,4.8,16,"Brass","Brass","Intake",127.297
2.4,5,20,"Brass","Brass","Intake",109.898
2.4,3.8,32,"Brass","Brass","Intake",68.9706
2.8,3.2,28,"Brass","Brass","Intake",78.171
2.8,5,34,"Brass","Brass","Intake",74.642
2.2,3.6,16,"Brass","Brass","Intake",108.927
2.2,4.2,30,"Brass","Aluminum","Exhaust",80.8591
2.4,4.4,22,"Brass","Aluminum","Exhaust",100.346
2.6,3.6,22,"Brass","Aluminum","Exhaust",91.7843
2.8,4.2,24,"Brass","Aluminum","Exhaust",99.9513
2.6,3.8,26,"Brass","Aluminum","Exhaust",82.0777
3,3.4,20,"Brass","Aluminum","Exhaust",98.8272
2.2,4.6,30,"Brass","Aluminum","Exhaust",80.4641
2.8,4.8,26,"Brass","Aluminum","Exhaust",93.3674
3,4,32,"Brass","Aluminum","Exhaust",82.8505
2.6,3.4,18,"Brass","Aluminum","Exhaust",106.389
3,4.8,16,"Brass","Aluminum","Exhaust",130.475
2.4,5,20,"Brass","Aluminum","Exhaust",111.913
2.4,3.8,32,"Brass","Aluminum","Exhaust",71.8528
2.8,3.2,28,"Brass","Aluminum","Exhaust",81.6731
2.8,5,34,"Brass","Aluminum","Exhaust",76.9575
2.2,3.6,16,"Brass","Aluminum","Exhaust",111.737
2.2,4.2,30,"Brass","Aluminum","Intake",79.628
2.4,4.4,22,"Brass","Aluminum","Intake",98.3205
2.6,3.6,22,"Brass","Aluminum","Intake",90.4784
2.8,4.2,24,"Brass","Aluminum","Intake",99.4571
2.6,3.8,26,"Brass","Aluminum","Intake",80.5319
3,3.4,20,"Brass","Aluminum","Intake",96.852
2.2,4.6,30,"Brass","Aluminum","Intake",78.9882
2.8,4.8,26,"Brass","Aluminum","Intake",91.6641
3,4,32,"Brass","Aluminum","Intake",82.7197
2.6,3.4,18,"Brass","Aluminum","Intake",104.207
3,4.8,16,"Brass","Aluminum","Intake",127.969
2.4,5,20,"Brass","Aluminum","Intake",110.734
2.4,3.8,32,"Brass","Aluminum","Intake",70.5505
2.8,3.2,28,"Brass","Aluminum","Intake",79.724
2.8,5,34,"Brass","Aluminum","Intake",75.989
2.2,3.6,16,"Brass","Aluminum","Intake",109.767
2.2,4.2,30,"Brass","Steel","Exhaust",87.1006
2.4,4.4,22,"Brass","Steel","Exhaust",104.824
2.6,3.6,22,"Brass","Steel","Exhaust",97.2143
2.8,4.2,24,"Brass","Steel","Exhaust",104.945
2.6,3.8,26,"Brass","Steel","Exhaust",88.0808
3,3.4,20,"Brass","Steel","Exhaust",103.894
2.2,4.6,30,"Brass","Steel","Exhaust",86.3117
2.8,4.8,26,"Brass","Steel","Exhaust",98.3128
3,4,32,"Brass","Steel","Exhaust",89.672
2.6,3.4,18,"Brass","Steel","Exhaust",110.96
3,4.8,16,"Brass","Steel","Exhaust",133.521
2.4,5,20,"Brass","Steel","Exhaust",115.678
2.4,3.8,32,"Brass","Steel","Exhaust",79.1274
2.8,3.2,28,"Brass","Steel","Exhaust",88.942
2.8,5,34,"Brass","Steel","Exhaust",83.1521
2.2,3.6,16,"Brass","Steel","Exhaust",115.715
2.2,4.2,30,"Brass","Steel","Intake",86.1984
2.4,4.4,22,"Brass","Steel","Intake",103.105
2.6,3.6,22,"Brass","Steel","Intake",95.9371
2.8,4.2,24,"Brass","Steel","Intake",104.82
2.6,3.8,26,"Brass","Steel","Intake",86.6495
3,3.4,20,"Brass","Steel","Intake",101.935
2.2,4.6,30,"Brass","Steel","Intake",85.1331
2.8,4.8,26,"Brass","Steel","Intake",96.8779
3,4,32,"Brass","Steel","Intake",89.8706
2.6,3.4,18,"Brass","Steel","Intake",108.845
3,4.8,16,"Brass","Steel","Intake",131.259
2.4,5,20,"Brass","Steel","Intake",114.815
2.4,3.8,32,"Brass","Steel","Intake",77.9537
2.8,3.2,28,"Brass","Steel","Intake",87.0358
2.8,5,34,"Brass","Steel","Intake",82.4091
2.2,3.6,16,"Brass","Steel","Intake",113.846
2.2,4.2,30,"Aluminum","Silver","Exhaust",79.8494
